content,stopwords_removal,score,category
login lama padahal jaringan bagus buka aplikasi bank lain malah lancar tanpa kendala wondr bni lama sekali proses login nya,"['login', 'jaringan', 'bagus', 'buka', 'aplikasi', 'bank', 'lancar', 'kendala', 'wondr', 'bni', 'proses', 'login']",1,negative
saya kurang suka dg apk y tidak mmuaskan lbh nyaman pake bni mobile sudah benar password loginnya giliran mau tf salah pin y udh diganti pin nya mau login ulang mlah salahpdhl udh jelas benermembagongkan,"['suka', 'apk', 'y', 'mmuaskan', 'lbh', 'nyaman', 'pake', 'bni', 'mobile', 'password', 'loginnya', 'giliran', 'tf', 'salah', 'pin', 'y', 'udh', 'diganti', 'pin', 'login', 'ulang', 'mlah', 'salahpdhl', 'udh', 'benermembagongkan']",3,neutral
tapi apl nya masih lelet di bukapadahal sinyal nya lancarkenapa apl nya harus di perbaiki terusjadi aku nunggu lama banget,"['apl', 'lelet', 'bukapadahal', 'sinyal', 'lancarkenapa', 'apl', 'perbaiki', 'terusjadi', 'nunggu', 'banget']",5,positive
wordr itu sangat leletlelet saat loginrata perlu waktu satu menit ini membuat saya sering membatalkan mengunakan fitur qris aplikasi bni mobile jauh lebih unggul dalam hal kecepatan loginsaya ga bisa meninggalkan bni karena gaji melalui ini maka dengan laba bersih trilyunan tolong di benahi wondr,"['wordr', 'leletlelet', 'loginrata', 'menit', 'membatalkan', 'mengunakan', 'fitur', 'qris', 'aplikasi', 'bni', 'mobile', 'unggul', 'kecepatan', 'loginsaya', 'meninggalkan', 'bni', 'gaji', 'laba', 'bersih', 'trilyunan', 'tolong', 'benahi', 'wondr']",3,neutral
mantap dan aman,"['mantap', 'aman']",5,positive
loading masuk aplikasi sangat lambat,"['loading', 'masuk', 'aplikasi', 'lambat']",3,neutral
senang banget menggunakan aplikasi wondr by bni hampir semua pembayaran bisa di atasi dgn cepat,"['senang', 'banget', 'aplikasi', 'wondr', 'by', 'bni', 'pembayaran', 'atasi', 'dgn', 'cepat']",5,positive
mudah dan cepat,"['mudah', 'cepat']",5,positive
transfer ke dana kok gabisa ya katanya tim kami lagi perbaiki kamu bisa coba lagi nanti tapi sudah setidaknya hari masih gabisa,"['transfer', 'dana', 'gabisa', 'tim', 'perbaiki', 'coba', 'gabisa']",3,neutral
saya mau beli paket data dr td pagi tdk bs infonya sedang maintenance,"['beli', 'paket', 'data', 'td', 'pagi', 'bs', 'infonya', 'maintenance']",3,neutral
aplikasi yang cukup membantu karena bisa tarik tunai tanpa kartu free biaya admin free biaya tarik tunai dan free biaya transfer,"['aplikasi', 'membantu', 'tarik', 'tunai', 'kartu', 'free', 'biaya', 'admin', 'free', 'biaya', 'tarik', 'tunai', 'free', 'biaya', 'transfer']",5,positive
wonder sering gagal transaksi dan saldo nya berkurang,"['wonder', 'gagal', 'transaksi', 'saldo', 'berkurang']",1,negative
sangat mudah mengoperasikan berbagai layanan,"['mudah', 'mengoperasikan', 'layanan']",5,positive
ya ampun wondr ini loadingnya lama banget pas d bukak gak bs cepat kalau di butuh kan sampai sampai di kira nipu kalau mau belanja cepat,"['ampun', 'wondr', 'loadingnya', 'banget', 'bukak', 'gak', 'bs', 'cepat', 'butuh', 'nipu', 'belanja', 'cepat']",1,negative
ribet udah enak transaksi pakai bni mobile suruh pindah pake ini daftar susah bnget tambah ribet aja bni,"['ribet', 'udah', 'enak', 'transaksi', 'pakai', 'bni', 'mobile', 'suruh', 'pindah', 'pake', 'daftar', 'susah', 'bnget', 'ribet', 'bni']",1,negative
lebih baik dari aplikasi swbelumnya,"['aplikasi', 'swbelumnya']",5,positive
sangat membantu untuk urusan sehari mempermudah proses transfer untuk pekerjaan oke banget,"['membantu', 'urusan', 'sehari', 'mempermudah', 'proses', 'transfer', 'pekerjaan', 'oke', 'banget']",5,positive
ux better tapi kepraktisan dan kecepatan loading app sangat kurang padahal koneksi internet stabil,"['ux', 'better', 'kepraktisan', 'kecepatan', 'loading', 'app', 'koneksi', 'internet', 'stabil']",2,negative
mantep aplikasi nya paket komplit dan jadi lebih mudah tampilan juga lebih fresh untuk bertransaksi juga oke fitur nya makin lengkap juga,"['mantep', 'aplikasi', 'paket', 'komplit', 'mudah', 'tampilan', 'fresh', 'bertransaksi', 'oke', 'fitur', 'lengkap']",5,positive
aplikasinya kurang srek di aku apa apaan padahal jaringannya glte tapi masih lemot banget gak bisa sat set,"['aplikasinya', 'srek', 'jaringannya', 'glte', 'lemot', 'banget', 'gak', 'sat', 'set']",3,neutral
aplikasi wondr by bni lagi eror gak bisa di buka kakini gimana solusinya,"['aplikasi', 'wondr', 'by', 'bni', 'eror', 'gak', 'buka', 'kakini', 'gimana', 'solusinya']",3,neutral
seringan gabisa dibuka akhirnya pake app yang lama deh padahal jaringan lancar jaya pake wifi juga sama aja,"['seringan', 'gabisa', 'dibuka', 'pake', 'app', 'jaringan', 'lancar', 'jaya', 'pake', 'wifi']",1,negative
aplikasi nya bagus tp sering ngebug atau eror diperbaiki lagi,"['aplikasi', 'bagus', 'ngebug', 'eror', 'diperbaiki']",3,neutral
aplikasi sering tidak bisa di bukaberhenti di logo tampilan awalsangat menggangu saatmendesak di perlukanmohon di benahidemi kelancaran terimakasih,"['aplikasi', 'bukaberhenti', 'logo', 'tampilan', 'awalsangat', 'menggangu', 'saatmendesak', 'perlukanmohon', 'benahidemi', 'kelancaran', 'terimakasih']",4,positive
untuk metode pembayaran pendidikan di wonder kenapa hanya ada ui saja yah mohon ditambahkan seperti di app sebelum nya,"['metode', 'pembayaran', 'pendidikan', 'wonder', 'ui', 'yah', 'mohon', 'app']",3,neutral
aplikasi yang bagus dan sangat membantu,"['aplikasi', 'bagus', 'membantu']",5,positive
aplikasi paling ribet swapoto gagal terus padahal gambar sudah jelas zaman udh modern masih aja ribet aplikasi sampah,"['aplikasi', 'ribet', 'swapoto', 'gagal', 'gambar', 'zaman', 'udh', 'modern', 'ribet', 'aplikasi', 'sampah']",1,negative
sangat lama mau masuk,['masuk'],1,negative
tampilannya sudah bagus sekali mudah digunakan banyak fiturnya ya sekarang makin mantap pakai wondr,"['tampilannya', 'bagus', 'mudah', 'fiturnya', 'mantap', 'pakai', 'wondr']",5,positive
aplikasi ini sangat mempersulit setiap melakukan pembayaran listrik harus input no idpl terus tidak tersimpan secara otomatis jelas jelas ini transaksi rutin setiap bulannya,"['aplikasi', 'mempersulit', 'pembayaran', 'listrik', 'input', 'no', 'idpl', 'tersimpan', 'otomatis', 'transaksi', 'rutin', 'bulannya']",2,negative
sangat mempermudah pembayaran nggak ribet,"['mempermudah', 'pembayaran', 'nggak', 'ribet']",5,positive
bagus dan mudah penggunaanya,"['bagus', 'mudah', 'penggunaanya']",5,positive
jelek lama loginnya,"['jelek', 'loginnya']",1,negative
wonder by bni memudahkan kita dalam bertransaksi,"['wonder', 'by', 'bni', 'memudahkan', 'bertransaksi']",5,positive
menurut saya malah lebih bagus yg bni mobile bangking krn riwayat transaksinya lebih lengkapketerangan bs terbaca banyak dan setelah ada transaksi masuk atau keluar ada saldo jg jd ngecek lebih mudah di wonder keterangan traksasi minimalis,"['bagus', 'bni', 'mobile', 'bangking', 'krn', 'riwayat', 'transaksinya', 'lengkapketerangan', 'bs', 'terbaca', 'transaksi', 'masuk', 'saldo', 'ngecek', 'mudah', 'wonder', 'keterangan', 'traksasi', 'minimalis']",3,neutral
aplikasi jelas akurat dan terbukti bagus,"['aplikasi', 'akurat', 'terbukti', 'bagus']",5,positive
sebenarnya tampilannya lebih cantik dan menarik tapi mohon maaf fiturnya kurang lengkap kalau bisa menampilkan informasi keterangan pada mutasi transaksi masuk yang ada hanya keterangan dari mana tp catatan keterangan transfernya tidak ada tidak seperti aplikasi bni lama,"['tampilannya', 'cantik', 'menarik', 'mohon', 'maaf', 'fiturnya', 'lengkap', 'menampilkan', 'informasi', 'keterangan', 'mutasi', 'transaksi', 'masuk', 'keterangan', 'catatan', 'keterangan', 'transfernya', 'aplikasi', 'bni']",3,neutral
waktu untuk membuka aplikasi untuk pertama kali lambat fiturnya tidak selengkap bni mobile banking jadi sama sekali tidak bisa menggantikan bni mobile banking,"['membuka', 'aplikasi', 'kali', 'lambat', 'fiturnya', 'selengkap', 'bni', 'mobile', 'banking', 'menggantikan', 'bni', 'mobile', 'banking']",1,negative
aplikasi ini sangat berguna sekali khususnya untuk pengguna kartu dari bank bniselain mempermudah transaksi juga nasabah dapat menggunakan fitur life goals lifestyle bayar beli yang lebih lengkap deposito valuta asing express top up tapcash dan transfer valuta asing,"['aplikasi', 'berguna', 'pengguna', 'kartu', 'bank', 'bniselain', 'mempermudah', 'transaksi', 'nasabah', 'fitur', 'life', 'goals', 'lifestyle', 'bayar', 'beli', 'lengkap', 'deposito', 'valuta', 'asing', 'express', 'top', 'up', 'tapcash', 'transfer', 'valuta', 'asing']",5,positive
sangat simple cepat,"['simple', 'cepat']",5,positive
sering bgt gk bsa login dan sering bgt ada perbaikann kcewa bgt sh disaat buru mau tf atau cek saldo sering gk bsa login,"['bsa', 'login', 'perbaikann', 'kcewa', 'sh', 'disaat', 'buru', 'tf', 'cek', 'saldo', 'bsa', 'login']",2,negative
aplikasi top smua jd mudah bgt,"['aplikasi', 'top', 'smua', 'mudah']",5,positive
halo min kenapa si eror system terus saat verifikasi wajah gak bisa masuk efeknya jadi telah mencoba berkali diangap kebanyakan dan coba lagi besok tolong perbaiki,"['halo', 'min', 'eror', 'system', 'verifikasi', 'wajah', 'gak', 'masuk', 'efeknya', 'mencoba', 'berkali', 'diangap', 'kebanyakan', 'coba', 'besok', 'tolong', 'perbaiki']",4,positive
blum ada tarik tunai tanpa kartu sperti aplikasi yg lama,"['blum', 'tarik', 'tunai', 'kartu', 'sperti', 'aplikasi']",4,positive
baru pas d aktifin aja cepet prosesnya selanjutnya menguras kesabaran cuma mau buka aplikasi aja butuh waktu berjam jam gimana kalo mau transaksi pas d situasi darurat,"['aktifin', 'cepet', 'prosesnya', 'menguras', 'kesabaran', 'buka', 'aplikasi', 'butuh', 'berjam', 'jam', 'gimana', 'kalo', 'transaksi', 'situasi', 'darurat']",3,neutral
saya baru menggunakan aplikasi ini menurut saya masih banyak kekurangannyatidak bisa tarik tunai non kartunotifikasi setiap transaksi uang keluar n masuk jarang munculdipengaturannya paling kecil ribu untuk notifnya tpi jarang muncul jga klw ada transaksibeda sama brimo setiap ada transaksi selalu muncul notifikasinya walaupun transaksi rupiahkalau yg mobile banking bni saya tidak taukarna kemarin langsung di buatkan wondr sama cs bank bni nya,"['aplikasi', 'kekurangannyatidak', 'tarik', 'tunai', 'non', 'kartunotifikasi', 'transaksi', 'uang', 'masuk', 'jarang', 'munculdipengaturannya', 'ribu', 'notifnya', 'jarang', 'muncul', 'jga', 'klw', 'transaksibeda', 'brimo', 'transaksi', 'muncul', 'notifikasinya', 'transaksi', 'rupiahkalau', 'mobile', 'banking', 'bni', 'taukarna', 'kemarin', 'langsung', 'buatkan', 'wondr', 'cs', 'bank', 'bni']",2,negative
mohon maaf tapi suka error mulu pas lagi gentingnya dan ga bisa kepake itu bener frustasi banget,"['mohon', 'maaf', 'suka', 'error', 'mulu', 'gentingnya', 'kepake', 'bener', 'frustasi', 'banget']",1,negative
lambat mau pakai cepat gak bisa,"['lambat', 'pakai', 'cepat', 'gak']",1,negative
mantap pembayaran transper jadi mudah dengan wonder bni,"['mantap', 'pembayaran', 'transper', 'mudah', 'wonder', 'bni']",5,positive
aplikasi nya udah bagus lebih simpel dan kekinian buat interfacenya juga udah keren cuma mungkin buat kelengkapan fiturny masih ada beberapa yang kurang dibanding mbanking dan saya udah coba berkali kali buat aktifin login biometrik masih gagal terus sampe halaman persetujuan dan gak bisa jadinya susah mau login mesti masukin password dulu,"['aplikasi', 'udah', 'bagus', 'simpel', 'kekinian', 'interfacenya', 'udah', 'keren', 'kelengkapan', 'fiturny', 'dibanding', 'mbanking', 'udah', 'coba', 'berkali', 'kali', 'aktifin', 'login', 'biometrik', 'gagal', 'sampe', 'halaman', 'persetujuan', 'gak', 'susah', 'login', 'mesti', 'masukin', 'password']",3,neutral
mantap semoga semakin stabil,"['mantap', 'semoga', 'stabil']",4,positive
aplikasi nya akhir ini ga bisa di buka padahal udah uninstal terus di instalasi lagi tetep lama ke buka nya,"['aplikasi', 'buka', 'udah', 'uninstal', 'instalasi', 'tetep', 'buka']",3,neutral
verifikasi wajah gagal terus akhirnya ngak saya lanjut apakah ada penyebab lain tolong dijelaskan,"['verifikasi', 'wajah', 'gagal', 'ngak', 'penyebab', 'tolong']",3,neutral
bagus aflikasi nya semoga sukses selalu,"['bagus', 'aflikasi', 'semoga', 'sukses']",5,positive
lebih mudah aplikasi nyaman,"['mudah', 'aplikasi', 'nyaman']",5,positive
verifikasi wajah selalu gagal tolong masuknya jgn dipersulit pengguna apk nya,"['verifikasi', 'wajah', 'gagal', 'tolong', 'masuknya', 'dipersulit', 'pengguna', 'apk']",2,negative
impossible ini aplikasi rating,"['impossible', 'aplikasi', 'rating']",1,negative
fiturnya bagus dan komplit,"['fiturnya', 'bagus', 'komplit']",5,positive
proses cepat dan mudah,"['proses', 'cepat', 'mudah']",5,positive
masa setiap ingin transaksi harus verifikasi akun nyusahin lama lama apk ini sangat tidak rekomen,"['transaksi', 'verifikasi', 'akun', 'nyusahin', 'apk', 'rekomen']",1,negative
sudah hari ini saya tidak bisa masuk ke aplikasinya tolong di perbaiki,"['masuk', 'aplikasinya', 'tolong', 'perbaiki']",1,negative
tidak bisa tarik tunai kadang error huuft gangguan semoga lekas di optimalkan saja ya agar lebih membantu,"['tarik', 'tunai', 'kadang', 'error', 'huuft', 'gangguan', 'semoga', 'lekas', 'optimalkan', 'membantu']",3,neutral
perlu diperbaiki di bgian mutasipilih mingupilih pengeluran nanti muncul mutasi lebih dr satu dgn norek sama waktu sama,"['diperbaiki', 'bgian', 'mutasipilih', 'mingupilih', 'pengeluran', 'muncul', 'mutasi', 'dgn', 'norek']",4,positive
saya hari ini melakukan top up e wallet link aja melalui aplikasi ini saldo saya sudah terpotong namun keterangan pengisian saldo belum berhasil saldo link aja juga tidak bertambah tolong ini bagaimana solusinya jika memang top up nya gagal mestinya saldo saya tidak terpotong ini saldo sudah terpotong tapi top up juga tidak berhasil kemana larinya saldo saya itu tolong solusinya terimakasih,"['top', 'up', 'e', 'wallet', 'link', 'aplikasi', 'saldo', 'terpotong', 'keterangan', 'pengisian', 'saldo', 'berhasil', 'saldo', 'link', 'bertambah', 'tolong', 'solusinya', 'top', 'up', 'gagal', 'mestinya', 'saldo', 'terpotong', 'saldo', 'terpotong', 'top', 'up', 'berhasil', 'kemana', 'larinya', 'saldo', 'tolong', 'solusinya', 'terimakasih']",1,negative
lelet banget padahal ini udah upgrade aplikasi terbarunya bni malah lebih cepat bni yg lama,"['lelet', 'banget', 'udah', 'upgrade', 'aplikasi', 'terbarunya', 'bni', 'cepat', 'bni']",1,negative
setelah update gak bisa di buka why,"['update', 'gak', 'buka', 'why']",3,neutral
pelayanan nya lambat kali saya bolak balik mw buat buku nya aj antri hampir ujung ujung nya jam istirahat hari ini yg ke kali nya sangat mengecewa kan khusus nya di bni loa janan tolong di tambang costumer service nya biar kt antri ga lama baru ini buat rek bni pelayanan nya sangat lambat,"['pelayanan', 'lambat', 'kali', 'bolak', 'buku', 'aj', 'antri', 'ujung', 'ujung', 'jam', 'istirahat', 'kali', 'mengecewa', 'khusus', 'bni', 'loa', 'janan', 'tolong', 'tambang', 'costumer', 'service', 'biar', 'kt', 'antri', 'rek', 'bni', 'pelayanan', 'lambat']",1,negative
aneh bangett aplikasinya transaksi sering gagal mending balik lagi ke mbanking bni biasa drpd wondr klo ga ngecek email ga akan tau klo transaksinya gagal,"['aneh', 'bangett', 'aplikasinya', 'transaksi', 'gagal', 'mending', 'mbanking', 'bni', 'drpd', 'wondr', 'ngecek', 'email', 'tau', 'transaksinya', 'gagal']",3,neutral
gabisa login disuruh dekatkan wajah di depan layar tacoba x gabisa anjirr la terus harus posisi gimana coyy padahal deteksi kek login face id dana bisa deh gila ni aplikasi sering eror,"['gabisa', 'login', 'disuruh', 'dekatkan', 'wajah', 'layar', 'tacoba', 'x', 'gabisa', 'anjirr', 'la', 'posisi', 'gimana', 'coyy', 'deteksi', 'kek', 'login', 'face', 'id', 'dana', 'gila', 'aplikasi', 'eror']",1,negative
tolong riwayat bni simponi dimunculkan di aplikasi ini,"['tolong', 'riwayat', 'bni', 'simponi', 'dimunculkan', 'aplikasi']",4,positive
overall tampilan bagus sangat disayangkan menu layanan pembayaran uang semester kuliah belum ada mohon segera ditambahkan trims,"['overall', 'tampilan', 'bagus', 'disayangkan', 'menu', 'layanan', 'pembayaran', 'uang', 'semester', 'kuliah', 'mohon', 'trims']",4,positive
bagus semoga bni dapat meningkatkan lagi untuk kecanggihan yang laen,"['bagus', 'semoga', 'bni', 'meningkatkan', 'kecanggihan', 'laen']",5,positive
setiap mau login harus isi syarat dan ketentuan kemudian sesi sudah anda sudah berakhir begitu terus sehingga nggak bisa loginaplikasi yg lama mantap,"['login', 'isi', 'syarat', 'ketentuan', 'sesi', 'nggak', 'loginaplikasi', 'mantap']",3,neutral
mau isi pulsa listrik di bni suruh ke wondr eh serta sudah install wonder malah minta update ke yg terbaru lah ini sya install emang apa bukan yg terbaru harus ke lah gimana mau install updatenya saja tidak ada ahh ribet,"['isi', 'pulsa', 'listrik', 'bni', 'suruh', 'wondr', 'eh', 'install', 'wonder', 'update', 'terbaru', 'sya', 'install', 'emang', 'terbaru', 'gimana', 'install', 'updatenya', 'ahh', 'ribet']",1,negative
keren dan sangat membantu dlm bertransaksi,"['keren', 'membantu', 'dlm', 'bertransaksi']",5,positive
saya pakai apk ini karena bni mobile sudah tidak bisa qris sayangnya masih banyak yang harus dibenahi di apk wondr ini update saldo saat akan melakukan pembelian token listrik taunya kekurangan saldo karena adm bulananlalu saya tf dari rekening saya yg lain namun harus ke halaman utama lagi dulu utk ulang trx pembelian token awal masuk apk tiap open apk selalu persetujuan privasi tidak ada informasi promosi bni justru notif bni mobile yang memberikan informasi promo pembelian token,"['pakai', 'apk', 'bni', 'mobile', 'qris', 'sayangnya', 'dibenahi', 'apk', 'wondr', 'update', 'saldo', 'pembelian', 'token', 'listrik', 'taunya', 'kekurangan', 'saldo', 'adm', 'bulananlalu', 'tf', 'rekening', 'halaman', 'utama', 'ulang', 'trx', 'pembelian', 'token', 'masuk', 'apk', 'open', 'apk', 'persetujuan', 'privasi', 'informasi', 'promosi', 'bni', 'notif', 'bni', 'mobile', 'informasi', 'promo', 'pembelian', 'token']",3,neutral
tidak optimal aplikasi saya di paksa berulang masuk ke menu persetujuan pengguna pada lembar pendaftaran sampai sekarang saya belum bisa masuk ke menu akses apa pun itu,"['optimal', 'aplikasi', 'paksa', 'berulang', 'masuk', 'menu', 'persetujuan', 'pengguna', 'lembar', 'pendaftaran', 'masuk', 'menu', 'akses']",1,negative
sudah lebih dari minggusetelah update aplikasi d buka error sedang d perbaiki tim tlong sgera d perbaiki,"['minggusetelah', 'update', 'aplikasi', 'buka', 'error', 'perbaiki', 'tim', 'tlong', 'sgera', 'perbaiki']",3,neutral
kebanyakan nanya wali padahal wali sya gak kerja cuma pekerja lepas aplikasi hanya untuk orang kaya,"['kebanyakan', 'nanya', 'wali', 'wali', 'sya', 'gak', 'kerja', 'pekerja', 'lepas', 'aplikasi', 'orang', 'kaya']",1,negative
jujur sebenernya suka karena lebih simpel cuman plis lah kl ada pembaruan atau apapun itu plis jangan dijam kerja karena kl mau transaksi suka tiba ngga bisa seperti hari ini,"['jujur', 'sebenernya', 'suka', 'simpel', 'cuman', 'plis', 'kl', 'pembaruan', 'apapun', 'plis', 'dijam', 'kerja', 'kl', 'transaksi', 'suka', 'ngga']",3,neutral
sejauh ini selama makai apk nya sih enak jauh lebih memudahkan dan juga banyak banget promo dari aplikasinya senang banget,"['makai', 'apk', 'sih', 'enak', 'memudahkan', 'banget', 'promo', 'aplikasinya', 'senang', 'banget']",5,positive
tolong lah wahai bni jangan aplikasinya sering error,"['tolong', 'bni', 'aplikasinya', 'error']",5,positive
riwayat transaksi tidak selengkap aplikasi bni di bni bisa di download pdf di wonder tidak bisa dan tidak lengkap bintang dlu karna masih tahap pengembangan,"['riwayat', 'transaksi', 'selengkap', 'aplikasi', 'bni', 'bni', 'download', 'pdf', 'wonder', 'lengkap', 'bintang', 'dlu', 'karna', 'tahap', 'pengembangan']",3,neutral
aplikasi bank paling bodok dari semua aplikasi tiap mau masuk gk bisa katanya sesi anda berakhir terus otomatis mengulang terus dan tetap tdk bisa masuk bodok bodokk,"['aplikasi', 'bank', 'bodok', 'aplikasi', 'masuk', 'sesi', 'otomatis', 'mengulang', 'masuk', 'bodok', 'bodokk']",1,negative
ga bisa pake finger print,"['pake', 'finger', 'print']",3,neutral
kenapa di wondr nggak ada menu aktivasi kartu debit di luar negeri ya,"['wondr', 'nggak', 'menu', 'aktivasi', 'kartu', 'debit', 'negeri']",4,positive
kok sering banget ga bisa aksesnya malah jadi was was pas dibutuhkan ga bisa akses,"['banget', 'aksesnya', 'was', 'was', 'dibutuhkan', 'akses']",2,negative
sudah disuruh tengok buka mulut kedip mata sampe pegel pegang lampu karena katanya kurang terangakhirnya disuruh besok lagi,"['disuruh', 'tengok', 'buka', 'mulut', 'kedip', 'mata', 'sampe', 'pegel', 'pegang', 'lampu', 'terangakhirnya', 'disuruh', 'besok']",1,negative
kerenlebih mudah dan memenuhi kebutuhan transaksi keuangan yang dibutuhkan,"['kerenlebih', 'mudah', 'memenuhi', 'kebutuhan', 'transaksi', 'keuangan', 'dibutuhkan']",5,positive
kalau menurut saya lebih lengkap bni mobile terima kasih,"['lengkap', 'bni', 'mobile', 'terima', 'kasih']",4,positive
wondr ini sih bikin urusan finansial jadi lebih gampang bayarbayar transfer semua tinggal beberapa tap aja interfacenya juga userfriendly banget jadi gak bingung,"['wondr', 'sih', 'bikin', 'urusan', 'finansial', 'gampang', 'bayarbayar', 'transfer', 'tinggal', 'tap', 'interfacenya', 'userfriendly', 'banget', 'gak', 'bingung']",5,positive
cukup praktis dan mudah dalam melakukan transfer ke bank lain,"['praktis', 'mudah', 'transfer', 'bank']",5,positive
duluuntuk bayar virtual acaunt slalu gagalpadahal pake data iyapake wifi iyaslalu gagal,"['duluuntuk', 'bayar', 'virtual', 'acaunt', 'slalu', 'gagalpadahal', 'pake', 'data', 'iyapake', 'wifi', 'iyaslalu', 'gagal']",3,neutral
memudahkan segala transaksi,"['memudahkan', 'transaksi']",5,positive
perbaikilah jaringan nyamau transaksi selalu leletbagus aplikasi yg lama nya,"['perbaikilah', 'jaringan', 'nyamau', 'transaksi', 'leletbagus', 'aplikasi']",4,positive
baik dan cepat,['cepat'],5,positive
mohon segera dihapus opsi memasukkan no card padahal mau buka rek teralihkan selalu kesitu ditambah bertemu petugas dan diarahkan ke cs buat minta card padahal belum juga buka rekening alhasil terlalu banyak mengakses dan hrs menunggu kemudian hari menyusahkan,"['mohon', 'dihapus', 'opsi', 'memasukkan', 'no', 'card', 'buka', 'rek', 'teralihkan', 'kesitu', 'ditambah', 'bertemu', 'petugas', 'diarahkan', 'cs', 'card', 'buka', 'rekening', 'alhasil', 'mengakses', 'hrs', 'menunggu', 'menyusahkan']",1,negative
no kendala lancar jaya,"['no', 'kendala', 'lancar', 'jaya']",5,positive
aplikasi sering gak bisa dibuka baru mau masuk keluar lagi dan lagi sampai di unisntall terus instal lagi tetap aja tidak bisa masuk mohon diperbaiki systemnya kasihan sama yg membutuhkan apalagi disaat penting malah nge bug,"['aplikasi', 'gak', 'dibuka', 'masuk', 'unisntall', 'instal', 'masuk', 'mohon', 'diperbaiki', 'systemnya', 'kasihan', 'membutuhkan', 'disaat', 'nge', 'bug']",1,negative
pendaftaran mudah simple cepat tp fitur aplikasinya sangat sedikit gk selengkap bni mobile,"['pendaftaran', 'mudah', 'simple', 'cepat', 'fitur', 'aplikasinya', 'selengkap', 'bni', 'mobile']",3,neutral
kendala terus mau top up ewallet aja kendala mulu lagi penting juga pasti aja error,"['kendala', 'top', 'up', 'ewallet', 'kendala', 'mulu', 'error']",1,negative
sering bgt gangguan setiap mau buka apl sering bgt ga bisa kebuka,"['gangguan', 'buka', 'apl', 'kebuka']",3,neutral
aplikasi wondr kalau bisa format untuk paswordnya disamakan dengan aplikasi bni jadi ga menghafal pasword baru lagi udah x seting ulang paswordnya di wondr jadi saya balik lagi aja pake aplikasi bni,"['aplikasi', 'wondr', 'format', 'paswordnya', 'disamakan', 'aplikasi', 'bni', 'menghafal', 'pasword', 'udah', 'x', 'seting', 'ulang', 'paswordnya', 'wondr', 'pake', 'aplikasi', 'bni']",3,neutral
lebih enak aplikasi bni lama bisa cek mutasi rekening setoran dana masuk sedangkan wonder gk bisa,"['enak', 'aplikasi', 'bni', 'cek', 'mutasi', 'rekening', 'setoran', 'dana', 'masuk', 'wonder']",1,negative
makin kesini kok makin susah log in nya yatransaksi jd lama klo begini terus,"['kesini', 'susah', 'log', 'in', 'yatransaksi']",3,neutral
gak bisa transaksi padahal sudah pnya rekening sendirisetiap mau transaksi pasti diarahkan ke taplus muda,"['gak', 'transaksi', 'pnya', 'rekening', 'sendirisetiap', 'transaksi', 'diarahkan', 'taplus', 'muda']",3,neutral
bagus transaksi cepat,"['bagus', 'transaksi', 'cepat']",5,positive
pelayanan sangat memuaskan,"['pelayanan', 'memuaskan']",5,positive
aplikasi apaan iniverifikasi emailnya susah minta ampun sudah dapat token verifikasi tapi saat dimasukkan salah terus dan minta ulang terus mendingan pake mbanking aja daripada pake aplikasi ini malah buat susah mau transaksi,"['aplikasi', 'iniverifikasi', 'emailnya', 'susah', 'ampun', 'token', 'verifikasi', 'dimasukkan', 'salah', 'ulang', 'mendingan', 'pake', 'mbanking', 'pake', 'aplikasi', 'susah', 'transaksi']",1,negative
payahsering errorlogin gagal,"['payahsering', 'errorlogin', 'gagal']",1,negative
aplikasinha jelek banget semalam transaksi qris tpi salldo berkurang cmn anehnya gak masuk history transaksi terakhr tdk ada bukti dan tdk masuk gmail sehing saya mesti ke bank lg unt komplain,"['aplikasinha', 'jelek', 'banget', 'semalam', 'transaksi', 'qris', 'salldo', 'berkurang', 'cmn', 'anehnya', 'gak', 'masuk', 'history', 'transaksi', 'terakhr', 'bukti', 'masuk', 'gmail', 'sehing', 'mesti', 'bank', 'unt', 'komplain']",1,negative
sangat membantu dan mudah,"['membantu', 'mudah']",5,positive
minini gimana siaku udah bikin akun lohtapi knpa pas saya buka aplikasinya malah suruh bikin akun lagidan saya gabiaa loginayolah yang bener ajamasa harus terus teruaan bikin aiun baru,"['minini', 'gimana', 'siaku', 'udah', 'bikin', 'akun', 'lohtapi', 'knpa', 'buka', 'aplikasinya', 'suruh', 'bikin', 'akun', 'lagidan', 'gabiaa', 'loginayolah', 'bener', 'ajamasa', 'teruaan', 'bikin', 'aiun']",1,negative
aplikasi paling simple dan mudah digunakan bisa untuk mengontrol keuangan juga fitur nya lengkap mantap,"['aplikasi', 'simple', 'mudah', 'mengontrol', 'keuangan', 'fitur', 'lengkap', 'mantap']",5,positive
turun bintangtolong ditambahkan fitur tarik tunai tanpa kartu atm ini sangat membantu jika lupa kartu atau kartu atm terblokir tolong perhatikan fitur ini sangat penting dan membantu jika sdh ada fitur tersebut baru cocok bintang skr msh bintang dulu,"['turun', 'bintangtolong', 'fitur', 'tarik', 'tunai', 'kartu', 'atm', 'membantu', 'lupa', 'kartu', 'kartu', 'atm', 'terblokir', 'tolong', 'perhatikan', 'fitur', 'membantu', 'sdh', 'fitur', 'cocok', 'bintang', 'skr', 'msh', 'bintang']",3,neutral
